Order_ID,Customer_ID,Order_Date,Region,Category,Product_Name,Quantity,Unit_Price,Discount,Sales_Amount,Profit,Payment_Method,Customer_Type,Sales_Channel
ORD0001,CUST2424,2024-07-12,West,Electronics,Laptop,5,504.89,0.04,2423.47,170.85,Credit Card,New,Online
ORD0002,CUST9928,2024-12-19,West,Clothing,Jeans,9,1212.0,0.17,9053.64,1749.2,Debit Card,Returning,Retail
ORD0003,CUST2674,2023-12-11,North,Electronics,Smartphone,7,693.7,0.05,4613.11,1113.8,Cash,New,Retail
ORD0004,CUST2291,2024-01-23,East,Furniture,Sofa,1,1464.87,0.16,1230.49,301.01,Net Banking,Returning,Online
ORD0005,CUST7227,2023-04-14,East,Electronics,Laptop,4,1550.68,0.3,4341.9,959.84,Cash,Returning,Online
ORD0006,CUST3803,2023-03-15,South,Furniture,Sofa,4,1346.95,0.21,4256.36,794.7,Debit Card,Returning,Retail
ORD0007,CUST6168,2023-02-02,West,Furniture,Table,6,1688.85,0.23,7802.49,747.55,UPI,New,Online
ORD0008,CUST3340,2024-04-14,East,Sports,Tennis Racket,4,1317.77,0.12,4638.55,1080.36,Debit Card,New,Retail
ORD0009,CUST9085,2024-06-05,North,Sports,Gym Kit,10,810.81,0.07,7540.53,1881.42,Credit Card,New,Online
ORD0010,CUST5119,2024-06-25,North,Clothing,Shoes,10,145.78,0.11,1297.44,323.35,Credit Card,Returning,Retail
ORD0011,CUST9201,2023-09-27,South,Electronics,Headphones,7,333.15,0.0,2332.05,453.39,Net Banking,New,Retail
ORD0012,CUST1009,2024-06-27,East,Sports,Cricket Bat,3,760.35,0.05,2167.0,521.6,Cash,New,Online
ORD0013,CUST8962,2023-03-29,North,Furniture,Sofa,4,134.69,0.26,398.68,95.44,Net Banking,New,Online
ORD0014,CUST4295,2024-07-06,East,Food,Beverages,5,1064.79,0.18,4365.64,1060.29,Cash,Returning,Retail
ORD0015,CUST4770,2024-07-21,South,Sports,Gym Kit,2,510.85,0.02,1001.27,54.28,Credit Card,New,Online
ORD0016,CUST8953,2024-11-16,South,Clothing,T-Shirt,1,1722.08,0.02,1687.64,164.72,Net Banking,New,Retail
ORD0017,CUST7735,2024-03-09,West,Clothing,Shoes,7,397.01,0.03,2695.7,367.18,Credit Card,New,Online
ORD0018,CUST4006,2024-03-08,East,Food,Groceries,2,512.34,0.06,963.2,134.58,Cash,New,Online
ORD0019,CUST4872,2023-04-06,South,Food,Snacks,1,1311.25,0.16,1101.45,58.32,Cash,Returning,Retail
ORD0020,CUST5673,2024-04-10,West,Clothing,Shoes,1,345.98,0.0,345.98,44.31,Net Banking,Returning,Online
ORD0021,CUST1936,2023-11-18,North,Clothing,Jacket,4,1938.04,0.17,6434.29,1019.44,Net Banking,Returning,Online
ORD0022,CUST2964,2024-02-18,South,Electronics,Laptop,3,155.67,0.02,457.67,101.77,Net Banking,New,Online
ORD0023,CUST3144,2024-02-10,East,Food,Groceries,5,424.43,0.21,1676.5,163.86,Cash,Returning,Online
ORD0024,CUST9288,2023-08-07,East,Electronics,Tablet,10,1996.94,0.3,13978.58,903.75,Debit Card,Returning,Online
ORD0025,CUST9666,2024-09-18,North,Clothing,Jacket,5,332.34,0.25,1246.27,237.67,Net Banking,Returning,Online
ORD0026,CUST4450,2023-10-16,East,Clothing,Jacket,2,1781.63,0.22,2779.34,225.38,Debit Card,Returning,Retail
ORD0027,CUST3143,2023-12-08,East,Furniture,Chair,2,1275.88,0.25,1913.82,112.57,Debit Card,Returning,Retail
ORD0028,CUST1590,2024-07-12,East,Sports,Football,2,168.98,0.26,250.09,57.72,Net Banking,New,Retail
ORD0029,CUST6862,2023-02-10,South,Clothing,T-Shirt,5,742.01,0.28,2671.24,652.96,Debit Card,New,Retail
ORD0030,CUST3900,2023-06-16,West,Sports,Gym Kit,10,1503.97,0.28,10828.58,1054.13,Credit Card,New,Retail
ORD0031,CUST8711,2023-02-09,South,Food,Beverages,5,335.21,0.21,1324.08,167.51,Debit Card,Returning,Retail
ORD0032,CUST5573,2023-03-13,East,Furniture,Table,4,66.86,0.06,251.39,29.07,Net Banking,Returning,Retail
ORD0033,CUST8119,2023-04-22,East,Electronics,Laptop,5,373.56,0.29,1326.14,136.72,UPI,Returning,Online
ORD0034,CUST4228,2024-07-05,East,Food,Beverages,5,107.89,0.13,469.32,72.27,Cash,New,Retail
ORD0035,CUST6344,2024-02-23,West,Sports,Tennis Racket,2,1445.11,0.09,2630.1,294.19,UPI,New,Online
ORD0036,CUST5978,2023-01-01,East,Food,Bakery,3,1238.72,0.09,3381.71,539.68,Debit Card,Returning,Retail
ORD0037,CUST2389,2023-06-23,East,Food,Bakery,8,1357.74,0.15,9232.63,1927.28,Net Banking,Returning,Online
ORD0038,CUST2193,2024-05-01,West,Clothing,Jacket,4,1616.99,0.04,6209.24,367.85,Cash,New,Retail
ORD0039,CUST7965,2023-04-20,South,Food,Bakery,4,312.19,0.21,986.52,225.45,Debit Card,Returning,Online
ORD0040,CUST6198,2024-07-26,West,Sports,Cricket Bat,2,923.79,0.24,1404.16,257.69,Net Banking,Returning,Retail
ORD0041,CUST8939,2024-06-17,South,Clothing,Shoes,8,533.2,0.07,3967.01,704.27,UPI,Returning,Online
ORD0042,CUST4788,2023-06-04,West,Furniture,Table,5,684.98,0.27,2500.18,165.3,Debit Card,New,Online
ORD0043,CUST7381,2024-03-06,North,Food,Bakery,6,1094.37,0.12,5778.27,527.94,Net Banking,Returning,Retail
ORD0044,CUST9818,2024-03-05,South,Electronics,Headphones,5,1511.88,0.26,5593.96,1346.39,Cash,New,Retail
ORD0045,CUST8657,2023-06-19,South,Food,Bakery,1,789.94,0.2,631.95,132.47,Net Banking,New,Retail
ORD0046,CUST5262,2023-02-21,West,Sports,Football,2,1292.64,0.04,2481.87,353.27,UPI,New,Retail
ORD0047,CUST8705,2023-03-25,North,Furniture,Sofa,7,570.95,0.29,2837.62,381.13,Net Banking,New,Retail
ORD0048,CUST3496,2023-01-21,South,Clothing,T-Shirt,1,1513.38,0.28,1089.63,97.93,Debit Card,Returning,Online
ORD0049,CUST2876,2024-09-13,South,Sports,Cricket Bat,8,1404.94,0.23,8654.43,723.15,UPI,New,Online
ORD0050,CUST4978,2024-10-04,North,Furniture,Bed,7,1884.11,0.06,12397.44,2087.97,UPI,New,Online
ORD0051,CUST9031,2024-03-06,North,Furniture,Bed,6,156.53,0.19,760.74,39.96,Cash,Returning,Retail
ORD0052,CUST8921,2024-07-05,West,Clothing,Shoes,3,1472.91,0.29,3137.3,326.33,Cash,Returning,Retail
ORD0053,CUST7209,2024-09-16,East,Clothing,T-Shirt,5,1765.63,0.07,8210.18,1173.58,Credit Card,Returning,Retail
ORD0054,CUST5526,2024-09-02,North,Clothing,Shoes,4,722.55,0.08,2658.98,281.67,Net Banking,New,Online
ORD0055,CUST9041,2024-12-29,West,Clothing,Shoes,8,1119.25,0.07,8327.22,1209.27,Credit Card,New,Retail
ORD0056,CUST6632,2024-06-27,West,Clothing,Shoes,4,626.29,0.17,2079.28,300.77,Net Banking,Returning,Retail
ORD0057,CUST9779,2023-05-03,South,Food,Groceries,5,517.78,0.04,2485.34,219.99,Debit Card,New,Retail
ORD0058,CUST1231,2023-11-06,South,Furniture,Sofa,2,1668.6,0.09,3036.85,371.03,UPI,New,Online
ORD0059,CUST5658,2023-01-13,West,Sports,Tennis Racket,3,1282.98,0.23,2963.68,208.99,Cash,Returning,Retail
ORD0060,CUST9056,2024-02-15,North,Clothing,T-Shirt,5,1883.31,0.14,8098.23,1736.45,Net Banking,New,Online
ORD0061,CUST4697,2024-09-12,West,Clothing,Jacket,2,1987.96,0.04,3816.88,774.4,Cash,Returning,Retail
ORD0062,CUST4404,2023-04-12,South,Sports,Gym Kit,5,1145.89,0.02,5614.86,1358.92,UPI,New,Online
ORD0063,CUST8699,2024-08-31,East,Clothing,Jeans,9,168.63,0.0,1517.67,212.63,Credit Card,New,Retail
